country_name,country_code,development_flag,date,gdp_growth_per_capita,gdp_per_capita,log_gdp_per_capita
Israel,ISR,developed country,1975,2.372949592395841,NA,NA
Israel,ISR,developed country,1976,2.372949592395841,NA,NA
Israel,ISR,developed country,1977,2.372949592395841,NA,NA
Israel,ISR,developed country,1978,2.372949592395841,NA,NA
Israel,ISR,developed country,1979,2.372949592395841,NA,NA
Israel,ISR,developed country,1980,2.372949592395841,NA,NA
Israel,ISR,developed country,1981,2.372949592395841,NA,NA
Israel,ISR,developed country,1982,2.372949592395841,NA,NA
Israel,ISR,developed country,1983,2.372949592395841,NA,NA
Israel,ISR,developed country,1984,2.372949592395841,NA,NA
Israel,ISR,developed country,1985,2.372949592395841,NA,NA
Israel,ISR,developed country,1986,2.372949592395841,NA,NA
Israel,ISR,developed country,1987,2.372949592395841,NA,NA
Israel,ISR,developed country,1988,2.372949592395841,NA,NA
Israel,ISR,developed country,1989,2.372949592395841,NA,NA
Israel,ISR,developed country,1990,2.372949592395841,27510.039850549736,10.222306302501712
Israel,ISR,developed country,1991,2.372949592395841,27510.039850549736,10.222306302501712
Israel,ISR,developed country,1992,2.372949592395841,27510.039850549736,10.222306302501712
Israel,ISR,developed country,1993,2.372949592395841,27510.039850549736,10.222306302501712
Israel,ISR,developed country,1994,2.372949592395841,27510.039850549736,10.222306302501712
Israel,ISR,developed country,1995,2.372949592395841,19758.859521505263,9.891357253113183
Israel,ISR,developed country,1996,3.289553829311842,20782.169618236967,9.9418506681653
Israel,ISR,developed country,1997,1.3606242698208177,21427.979877824182,9.972452817940496
Israel,ISR,developed country,1998,1.8419508292198543,22068.2993473612,10.001897439071083
Israel,ISR,developed country,1999,0.9665234807898315,22595.50341203832,10.0255062013953
Israel,ISR,developed country,2000,6.052660395441791,24951.21756531456,10.12467790020198
Israel,ISR,developed country,2001,-2.229670141762938,24944.631732844344,10.124413917020972
Israel,ISR,developed country,2002,-2.185876540998649,25230.01157357938,10.135789500357923
Israel,ISR,developed country,2003,-0.6605279503374817,23845.312922872155,10.079342953853269
Israel,ISR,developed country,2004,3.0768078612233296,25238.880778084796,10.136140972489901
Israel,ISR,developed country,2005,2.33868870824152,24853.777869327998,10.12076504690458
Israel,ISR,developed country,2006,3.9233207450874517,25700.938363473004,10.15428278241415
Israel,ISR,developed country,2007,4.234026245996006,27513.14313487846,10.222419101658854
Israel,ISR,developed country,2008,1.637059976675829,27510.039850549736,10.222306302501712
Israel,ISR,developed country,2009,-1.2458888971042938,27461.86198240056,10.220553484102574
Israel,ISR,developed country,2010,3.771636091895303,28840.04535430326,10.269520164015654
Israel,ISR,developed country,2011,3.6099937068717907,30636.35237944168,10.329942569099439
Israel,ISR,developed country,2012,0.9421432179931344,31846.355834916278,10.3686782379681
Israel,ISR,developed country,2013,2.840133901585233,34324.378147144664,10.44361111385574
Israel,ISR,developed country,2014,2.1450877372739257,34366.18101802233,10.44482824985074
Israel,ISR,developed country,2015,0.27316645434285647,35469.950196978454,10.476441143678112
Israel,ISR,developed country,2016,2.4348611360794905,37843.19462590332,10.541206444176872
Israel,ISR,developed country,2017,2.372949592395841,39121.29583254612,10.574422248153985
Israel,ISR,developed country,2018,1.9992314935734328,39906.124684338836,10.594285091958525
Israel,ISR,developed country,2019,1.8113589088207647,40004.030511217345,10.59673549080028
Israel,ISR,developed country,2020,-3.863999472932946,39489.2807769984,10.583784541326752
Israel,ISR,developed country,2021,6.467707350839774,43721.623038919875,10.685598065089977
Italy,ITA,developed country,1961,7.486418839140157,NA,NA
Italy,ITA,developed country,1962,5.487477769839316,NA,NA
Italy,ITA,developed country,1963,4.842052489275233,NA,NA
Italy,ITA,developed country,1964,1.9555327096808242,NA,NA
Italy,ITA,developed country,1965,2.4020461468496848,NA,NA
Italy,ITA,developed country,1966,5.1641632807452424,NA,NA
Italy,ITA,developed country,1967,6.405677603781342,NA,NA
Italy,ITA,developed country,1968,5.873594595948134,NA,NA
Italy,ITA,developed country,1969,5.499179505566019,NA,NA
Italy,ITA,developed country,1970,4.713420688554777,NA,NA
Italy,ITA,developed country,1971,1.344280394879064,NA,NA
Italy,ITA,developed country,1972,3.1034897783745805,NA,NA
Italy,ITA,developed country,1973,6.40180594442019,NA,NA
Italy,ITA,developed country,1974,4.81201382086347,NA,NA
Italy,ITA,developed country,1975,-2.6731839226138447,NA,NA
Italy,ITA,developed country,1976,6.5923197262891335,NA,NA
Italy,ITA,developed country,1977,2.125827505742862,NA,NA
Italy,ITA,developed country,1978,2.8729363490739104,NA,NA
Italy,ITA,developed country,1979,5.653223990562566,NA,NA
Italy,ITA,developed country,1980,3.217170143924548,NA,NA
Italy,ITA,developed country,1981,0.7232323999742079,NA,NA
Italy,ITA,developed country,1982,0.3392249899585096,NA,NA
Italy,ITA,developed country,1983,1.1324911624162013,NA,NA
Italy,ITA,developed country,1984,3.2027829729281905,NA,NA
Italy,ITA,developed country,1985,2.768381475378476,NA,NA
Italy,ITA,developed country,1986,2.854366886737168,NA,NA
Italy,ITA,developed country,1987,3.181430302852391,NA,NA
Italy,ITA,developed country,1988,4.144042124435359,NA,NA
Italy,ITA,developed country,1989,3.3108619345500188,NA,NA
Italy,ITA,developed country,1990,1.9004398274326633,18627.643967280022,9.832401991147448
Italy,ITA,developed country,1991,1.4681756111360613,19540.324567744363,9.880235535885863
Italy,ITA,developed country,1992,0.7658075994351634,20138.67053740541,9.910397153041364
Italy,ITA,developed country,1993,-0.9134017219412982,20427.727501886453,9.924648448236937
Italy,ITA,developed country,1994,2.1302154755529017,21308.402242488213,9.966856745392418
Italy,ITA,developed country,1995,2.885202350717492,22382.897962176525,10.016052462409514
Italy,ITA,developed country,1996,1.2383283704836572,23052.618950850177,10.045534662397822
Italy,ITA,developed country,1997,1.77635122351289,23875.838511001475,10.08062228561185
Italy,ITA,developed country,1998,1.7813243736747069,25021.065294314478,10.127473360824908
Italy,ITA,developed country,1999,1.6086347314111293,25602.389472039285,10.150440964863398
Italy,ITA,developed country,2000,3.739946533019392,27072.42136318192,10.206270826823163
Italy,ITA,developed country,2001,1.8941239948127873,28033.73586605725,10.241163916264414
Italy,ITA,developed country,2002,0.10475951355985558,28736.577107350364,10.265926053978992
Italy,ITA,developed country,2003,-0.3055087894633175,29196.927899307095,10.281818773793686
Italy,ITA,developed country,2004,0.7693176633519272,29554.689088187886,10.293997693432805
Italy,ITA,developed country,2005,0.32365624440696195,30130.644456912836,10.313298021106117
Italy,ITA,developed country,2006,1.4851573595770162,32453.58370763565,10.387566153866034
Italy,ITA,developed country,2007,0.975922132963376,34141.20077280643,10.438260167751189
Italy,ITA,developed country,2008,-1.6159406274292678,35523.27131043416,10.477943290569037
Italy,ITA,developed country,2009,-5.711508382766567,34602.89695885279,10.451692684675368
Italy,ITA,developed country,2010,1.4009153429996246,35158.44184353208,10.467620034649093
Italy,ITA,developed country,2011,0.5342874395848156,36598.01496930241,10.507749282107234
Italy,ITA,developed country,2012,-3.242060119951148,36486.296787030224,10.504692038586589
Italy,ITA,developed country,2013,-2.9724037999969823,36314.69710077751,10.499977817120932
Italy,ITA,developed country,2014,-0.9178138797533535,36194.87391884304,10.496672783335155
Italy,ITA,developed country,2015,0.875477401786128,36899.38520924635,10.515950168893788
Italy,ITA,developed country,2016,1.4656904443408365,39926.95466285921,10.594806930253212
Italy,ITA,developed country,2017,1.820333851922257,41581.12079054799,10.635401516088358
Italy,ITA,developed country,2018,1.1178166197923503,43036.24377703666,10.669797918188802
Italy,ITA,developed country,2019,1.6657365514354012,44376.16250289119,10.700457723682828
Italy,ITA,developed country,2020,-8.597873461048195,41987.81596304718,10.645134759061563
Italy,ITA,developed country,2021,7.3358401398200215,45935.99655396776,10.735004327342725
Japan,JPN,developed country,1961,11.044073040340336,NA,NA
Japan,JPN,developed country,1962,7.901714420689743,NA,NA
Japan,JPN,developed country,1963,7.379857062833949,NA,NA
Japan,JPN,developed country,1964,10.52079209141661,NA,NA
Japan,JPN,developed country,1965,4.686450016494192,NA,NA
Japan,JPN,developed country,1966,9.632359630586635,NA,NA
Japan,JPN,developed country,1967,9.93883449912613,NA,NA
Japan,JPN,developed country,1968,11.617428153246692,NA,NA
Japan,JPN,developed country,1969,11.148657322062647,NA,NA
Japan,JPN,developed country,1970,1.2818137873401128,NA,NA
Japan,JPN,developed country,1971,2.426652356777197,NA,NA
Japan,JPN,developed country,1972,6.905499722266839,NA,NA
Japan,JPN,developed country,1973,6.523023596594328,NA,NA
Japan,JPN,developed country,1974,-2.5298392000776175,NA,NA
Japan,JPN,developed country,1975,1.7878356419801662,NA,NA
Japan,JPN,developed country,1976,2.86677809806082,NA,NA
Japan,JPN,developed country,1977,3.3846807147320845,NA,NA
Japan,JPN,developed country,1978,4.318280114687738,NA,NA
Japan,JPN,developed country,1979,4.594768306985358,NA,NA
Japan,JPN,developed country,1980,2.0104158573597317,NA,NA
Japan,JPN,developed country,1981,3.5038862937472004,NA,NA
Japan,JPN,developed country,1982,2.5658154192142604,NA,NA
Japan,JPN,developed country,1983,2.911865413092187,NA,NA
Japan,JPN,developed country,1984,3.7361564791634834,NA,NA
Japan,JPN,developed country,1985,4.503630614974028,NA,NA
Japan,JPN,developed country,1986,2.7456152471712727,NA,NA
Japan,JPN,developed country,1987,4.145630588409418,NA,NA
Japan,JPN,developed country,1988,6.218728553296387,NA,NA
Japan,JPN,developed country,1989,4.507170159524648,NA,NA
Japan,JPN,developed country,1990,4.493661204195092,19972.89275051064,9.90213127072716
Japan,JPN,developed country,1991,3.1174946331544504,21270.266126882387,9.965065419958155
Japan,JPN,developed country,1992,0.5267450362090216,21858.207304683834,9.992331750347736
Japan,JPN,developed country,1993,-0.7813762281365939,22188.38534473233,10.007324248282849
Japan,JPN,developed country,1994,0.8015596851254116,22823.441710753683,10.03554343197174
Japan,JPN,developed country,1995,2.3905195580515795,23859.066053900453,10.079919552132266
Japan,JPN,developed country,1996,2.900141234358003,25000.53392359401,10.126652460566042
Japan,JPN,developed country,1997,0.7409059525988368,25620.068102379355,10.151131233619688
Japan,JPN,developed country,1998,-1.5382440756550864,25509.89959548598,10.146821875239675
Japan,JPN,developed country,1999,-0.5157405900551311,25735.97109115167,10.155644945633792
Japan,JPN,developed country,2000,2.592891086508132,27287.27019127178,10.214175579064488
Japan,JPN,developed country,2001,0.14451169008489728,27942.346651132983,10.237898618229424
Japan,JPN,developed country,2002,-0.19039201361297842,28623.588447936738,10.261986427778199
Japan,JPN,developed country,2003,1.3180919624152523,29392.248991618573,10.288486278826841
Japan,JPN,developed country,2004,2.151723329186055,30830.658446643396,10.336264877987304
Japan,JPN,developed country,2005,1.794339800603879,32169.867493646037,10.378785501282906
Japan,JPN,developed country,2006,1.3081271830090344,33634.631706678716,10.423311520694948
Japan,JPN,developed country,2007,1.367422326037854,35015.986574512724,10.46355999546058
Japan,JPN,developed country,2008,-1.2721099488706216,35273.79115215602,10.470895506882387
Japan,JPN,developed country,2009,-5.681452340311822,33547.2834245767,10.420711168169989
Japan,JPN,developed country,2010,4.079223048432738,35335.37351038142,10.472639823619007
Japan,JPN,developed country,2011,0.20925180281963662,36214.4397740241,10.497213207064076
Japan,JPN,developed country,2012,1.536786658845955,37605.97426145393,10.534918206688603
Japan,JPN,developed country,2013,2.1523710656464345,39402.025098802456,10.581572492411933
Japan,JPN,developed country,2014,0.42938112252039673,39555.41200891975,10.58545780350338
Japan,JPN,developed country,2015,1.6684651171174494,40898.80697396,10.618856172264628
Japan,JPN,developed country,2016,0.8053628246161679,40596.96866289942,10.611448679326983
Japan,JPN,developed country,2017,1.7586118016144354,41444.21574439138,10.632103603042664
Japan,JPN,developed country,2018,0.7117701984367386,42116.474345728115,10.648194257752243
Japan,JPN,developed country,2019,-0.1001250107653675,42282.55089396906,10.652129771512561
Japan,JPN,developed country,2020,-4.225555340927244,42100.257690921026,10.64780914057623
Japan,JPN,developed country,2021,2.089279404933791,42940.4052523244,10.667568509029701
"Korea, Rep.",KOR,developed country,1961,3.8095547622288137,NA,NA
"Korea, Rep.",KOR,developed country,1962,0.9666423744575354,NA,NA
"Korea, Rep.",KOR,developed country,1963,6.026425874279525,NA,NA
"Korea, Rep.",KOR,developed country,1964,6.647769517641208,NA,NA
"Korea, Rep.",KOR,developed country,1965,4.624622445324306,NA,NA
"Korea, Rep.",KOR,developed country,1966,9.213101876490342,NA,NA
"Korea, Rep.",KOR,developed country,1967,6.562089373975866,NA,NA
"Korea, Rep.",KOR,developed country,1968,10.570155274121106,NA,NA
"Korea, Rep.",KOR,developed country,1969,11.997471227135208,NA,NA
"Korea, Rep.",KOR,developed country,1970,7.675052528514257,NA,NA
"Korea, Rep.",KOR,developed country,1971,8.387642879446304,NA,NA
