country_name,country_code,development_flag,date,imports_pc_gdp,log_imports_pc_gdp,exports_pc_gdp,log_exports_pc_gdp,current_account_balance,capital_account_balance,financial_account_balance,balance_of_payments
Spain,ESP,developed country,1998,26.559507044153435,3.279387764351408,26.101947326674974,3.2620099217628757,-7251485437.82898,5966006709.18532,-1279895423.73881,-1809459296.24755
Spain,ESP,developed country,1999,28.284957941862242,3.3423301418526044,26.351509006702777,3.27152554115419,-20659548705.1282,6285884392.60073,-11382838511.7216,-12253316341.6117
Spain,ESP,developed country,2000,31.51897581388313,3.4505897712473947,28.56335793261105,3.352124705231279,-25928189733.2711,3932759428.61634,-17530364640.0571,-17728761019.0996
Spain,ESP,developed country,2001,30.135536303500892,3.405705083474869,27.86161916024839,3.3272500844033197,-27555477891.8335,4001441457.81599,-19193354039.7548,-14353790989.8264
Spain,ESP,developed country,2002,28.54518432343587,3.3514882466886258,26.553994919631997,3.279180204151556,-26251685129.0351,6670484407.12015,-15025390015.4948,-14084882627.5741
Spain,ESP,developed country,2003,27.83478297721703,3.3262864248462125,25.628906123405454,3.243720859925793,-35103881711.6869,9418796739.37167,-20298225146.372,-20111136438.4443
Spain,ESP,developed country,2004,29.1121978690701,3.3711572571083495,25.41198482262225,3.235220906151718,-58677027283.2252,9024158264.68255,-43529184265.8009,-39836029847.2584
Spain,ESP,developed country,2005,29.783028542405997,3.393938719278002,24.979269040941084,3.2180462424975236,-83915470590.1026,7222630512.69264,-73501547957.2063,-55410761942.1065
Spain,ESP,developed country,2006,30.935832313067145,3.4319151338438076,25.241302500540435,3.2284816409588313,-111532335014.355,4987089502.22892,-101276045147.854,-71686931444.7052
Spain,ESP,developed country,2007,31.76286494492529,3.4582978383850858,25.98473881467804,3.2575093970217055,-139287625661.585,5455059973.33049,-139306962122.868,-85471111719.7061
Spain,ESP,developed country,2008,30.359400869368503,3.4131062181221834,25.623929174316228,3.2435266482660494,-145715515235.168,5581367971.28849,-140406634585.314,-77546608602.9967
Spain,ESP,developed country,2009,23.93318015230197,3.175265787043942,23.061694174725503,3.1381729802569858,-60418930687.3382,5934892954.06996,-61321782569.251404,-13093157219.1369
Spain,ESP,developed country,2010,26.97656121091554,3.2949683856850247,25.95167934640243,3.256236322215581,-52249545356.1328,5337869071.86147,-42430248434.3434,-14962366973.4489
Spain,ESP,developed country,2011,29.25820883035037,3.3761601780774306,29.534962204927222,3.385574721087725,-39975229877.5027,4859891374.79031,-38922644013.129,4550068631.56111
Spain,ESP,developed country,2012,29.390097362134966,3.380657793189373,31.455272481109965,3.448566615553539,735150583.0459,6929934259.2711,10672733205.3877,26980752077.6831
Spain,ESP,developed country,2013,29.033721828238995,3.3684579760964253,32.96257747356784,3.4953729020313746,27588004255.4173,8264924943.95802,41405382346.4374,53047822725.9354
Spain,ESP,developed country,2014,30.38304213114659,3.413884628136796,33.48256759139589,3.51102493298526,22662337678.7699,5977860336.27156,21814313662.7012,42521839586.0503
Spain,ESP,developed country,2015,30.586122736847965,3.4205464007619253,33.62651843465511,3.515314994810374,24107676878.1213,7698229848.51827,31535974953.2152,36329793200.273
Spain,ESP,developed country,2016,29.89253393665158,3.397608748100795,33.880090497737555,3.522827540905952,39298651172.1781,2672215722.46696,39235805710.0494,49394269910.6189
Spain,ESP,developed country,2017,31.543111216688313,3.4513552201920805,35.14946202964711,3.559609313150849,36857922351.0279,3261769269.92555,40720105280.6593,47694998447.0931
Spain,ESP,developed country,2018,32.44554996056543,3.479563298478569,35.16258760582717,3.55998266526903,26481556490.1282,6719009455.86997,37694114377.0513,38485233872.7473
Spain,ESP,developed country,2019,32.02467101958815,3.4665065751176423,34.954655951783025,3.554051677311677,29188956524.9189,4705030094.42641,28225195000.0271,40733319127.2727
Spain,ESP,developed country,2020,29.147785815385387,3.3723789516057043,30.62093786877823,3.421684019047807,10787752174.898,5176035116.64028,19827733316.9442,18961767589.4966
Spain,ESP,developed country,2021,33.40978853387748,3.5088489269226386,34.92033196604659,3.553069237399485,13263377451.443,12833259464.2136,38096870982.9725,21534777216.1616
Finland,FIN,developed country,1960,29.531185633083254,3.3854468450711797,NA,NA,NA,83277565.9346569,-552650873.881698,NA
Finland,FIN,developed country,1961,29.531185633083254,3.3854468450711797,35.10870566741232,3.5584491244313776,NA,NA,NA,665619171.794315
Finland,FIN,developed country,1962,29.531185633083254,3.3854468450711797,35.10870566741232,3.5584491244313776,NA,NA,NA,665619171.794315
Finland,FIN,developed country,1963,29.531185633083254,3.3854468450711797,35.10870566741232,3.5584491244313776,NA,NA,NA,665619171.794315
Finland,FIN,developed country,1964,29.531185633083254,3.3854468450711797,35.10870566741232,3.5584491244313776,NA,NA,NA,665619171.794315
Finland,FIN,developed country,1965,29.531185633083254,3.3854468450711797,35.10870566741232,3.5584491244313776,NA,NA,NA,665619171.794315
Finland,FIN,developed country,1966,29.531185633083254,3.3854468450711797,35.10870566741232,3.5584491244313776,NA,NA,NA,665619171.794315
Finland,FIN,developed country,1967,29.531185633083254,3.3854468450711797,35.10870566741232,3.5584491244313776,NA,NA,NA,665619171.794315
Finland,FIN,developed country,1968,29.531185633083254,3.3854468450711797,35.10870566741232,3.5584491244313776,NA,NA,NA,665619171.794315
Finland,FIN,developed country,1969,29.531185633083254,3.3854468450711797,35.10870566741232,3.5584491244313776,NA,NA,NA,665619171.794315
Finland,FIN,developed country,1970,25.551312173203122,3.2406886724035133,23.870060264615883,3.1726249650486777,-478183388.614926,83277565.9346569,-552650873.881698,665619171.794315
Finland,FIN,developed country,1971,24.874353335931406,3.213837286161269,22.568093958933797,3.1165371370610124,-478183388.614926,83277565.9346569,-552650873.881698,665619171.794315
Finland,FIN,developed country,1972,24.137197237319413,3.18375410442664,23.65313291378693,3.1634955760921417,-478183388.614926,83277565.9346569,-552650873.881698,665619171.794315
Finland,FIN,developed country,1973,24.90348295566049,3.2150076714260525,23.604246398369686,3.161426627980028,-478183388.614926,83277565.9346569,-552650873.881698,665619171.794315
Finland,FIN,developed country,1974,29.53400829988333,3.3855424230796234,25.680904986682663,3.245747719115248,-478183388.614926,83277565.9346569,-552650873.881698,665619171.794315
Finland,FIN,developed country,1975,28.198964699853775,3.339285264498995,22.13360978774987,3.0970972581466594,-2140125901.4779,0,-2378773904.81869,-1736165619.94702
Finland,FIN,developed country,1976,25.721050568677256,3.2473097449068167,23.547032395141425,3.158999799576966,-1114194870.42485,0,-836441131.658925,-638897356.294181
Finland,FIN,developed country,1977,25.538684323449946,3.2401943349254845,26.851296936141928,3.290314122810366,-99080934.0200278,0,-450683072.583069,506467704.015517
Finland,FIN,developed country,1978,24.76561583001595,3.2094562326809912,27.860322086034344,3.327203529161874,680405505.549284,0,762507984.37758,1324236403.37151
Finland,FIN,developed country,1979,28.53495165965657,3.351129709915275,29.57857838060648,3.387050395972436,-162827095.684961,0,-254697973.816141,584485986.233524
Finland,FIN,developed country,1980,32.124075229521345,3.4696057561713554,30.82271147161066,3.4282518036863623,-1402766284.50181,0,-1235205926.90497,-505003967.962742
