avg_weekly_earnings,bonuses,date
1006.44258484047,517.63428562592799,2001 Feb
1006.5508914240201,86.575146943902993,2017 Aug
1010.69121517012,99.886245081053005,2017 Jul
1011.33529946433,153.53636134227099,2015 May
1016.37770061471,446.74881098778297,2005 Mar
1018.42149293127,123.63194110872,2016 Jul
1018.90115254632,54.733744373751001,2018 Nov
1019.22211506959,359.96226432515101,2009 Jan
1024.83652096988,500.441018619452,2004 Jan
1028.4195477676999,42.719798021746001,2019 Nov
1036.77347375561,256.74989732865401,2013 Jun
1040.78927273522,198.32096375836099,2014 Dec
1044.8533552736201,184.60422749978301,2015 Apr
1044.8846181691699,259.12192328514402,2013 Apr
1045.54262874956,86.694429005100005,2018 Aug
1052.18143506563,293.18503650699301,2011 Jun
1052.7974871321501,95.710153450988003,2018 Jul
1053.03256344432,133.87657714635,2017 Sep
1058.4558991798599,167.62383754220201,2016 Apr
1060.6794641872,78.855890942463006,2019 Aug
1061.0881242887999,102.372053381577,2018 Sep
1062.08174654711,100.716166279509,2018 Oct
1069.7474503327201,180.599555103146,2016 May
1070.36188675783,86.722544236185996,2019 Oct
1071.78855259902,184.252488987211,2016 Jun
1073.1446251664499,90.461828613874999,2019 Jul
1080.0926520999601,322.55003585831997,2012 Jan
1082.9171807960599,205.41698207584901,2015 Dec
1091.8777940755699,189.962668838817,2017 Apr
1092.40986508846,70.480744095641995,2020 Jul
1093.1819837159501,115.723912818606,2019 Sep
1095.5482100730301,188.352714526592,2017 May
1104.65673222293,217.40613320788199,2016 Dec
1104.69313806326,552.65179193929396,2005 Jan
1107.0783123030801,149.639886006583,2018 May
1113.90572082573,83.815029156996005,2020 Aug
1114.0995862188099,84.450790494768995,2020 Oct
1115.7805524355899,81.305815007684004,2020 Nov
1119.7835445667999,351.407340155329,2013 Jan
1125.35950951777,350.16282210896202,2014 Jan
1129.4594081212299,104.718625775416,2020 Sep
1137.18525016543,548.49900651676398,2006 Jan
1139.53377738736,164.36746873690001,2019 May
1143.25706193924,185.46886611930901,2018 Apr
1150.31846876651,168.709056902122,2019 Apr
1152.4131777549301,144.70593211140701,2020 May
1154.0760420177701,488.75428837291798,2009 Mar
1171.92190042317,262.86911613245002,2017 Jun
1173.0755837916599,84.335533880094999,2021 Jul
1174.3450858295801,336.50090453028599,2015 Jan
1179.5436312419499,171.842094959305,2020 Jun
1180.7295472304299,73.365779959734994,2021 Nov
1186.3424737395001,183.29120585086901,2020 Apr
1187.87451839343,240.52986503744799,2018 Jun
1188.22298201952,92.014526607329003,2021 Aug
1193.60589655999,262.92089640489701,2017 Dec
1212.1197812922701,546.28390480927396,2009 Feb
1212.87428422936,655.97915641607597,2005 Feb
1214.3003101531699,219.84003785863001,2019 Dec
1216.9602547944301,238.77721096710499,2019 Jun
1223.0031596397901,248.28521372346299,2018 Dec
1223.37753249313,141.84081044962801,2021 May
1225.3752807798201,127.10187657501599,2021 Oct
1228.6201420825901,475.33060270630301,2011 Jan
1238.34168333557,156.03430131808699,2021 Jun
1240.5540101541001,143.80521134950399,2021 Sep
1243.6111157338901,642.53685656834898,2006 Mar
1252.3064041999701,379.036437111059,2016 Jan
1254.9441501255801,374.64308903194899,2017 Jan
1258.3242980691,639.25767892316605,2007 Mar
1290.9936931955301,215.443450468386,2021 Apr
1301.8642942752799,166.017721510532,2022 May
1321.81809749589,277.87256171791398,2020 Dec
1334.11909701637,400.41477694368899,2018 Jan
1361.6015676314901,231.07023503823001,2022 Apr
1364.40008863202,713.65820642666802,2008 Mar
1372.7245133373699,738.752881309489,2008 Jan
1374.1315300347201,766.03736223037595,2007 Jan
1383.4573235733101,245.54173727553101,2022 Jun
1389.2864149038701,427.37115507584599,2019 Jan
1418.79241867478,703.33937657341198,2010 Mar
1440.88821834945,558.79864516617602,2016 Feb
1466.91593707026,702.78749747086397,2012 Feb
1483.24685352404,716.47660893809598,2012 Mar
1510.98683428702,735.62599071360796,2013 Feb
1512.0788450554801,917.89145431244106,2006 Feb
1513.7416199341801,532.751897917169,2020 Jan
1520.3022005888899,628.86550854449195,2017 Feb
1521.8649553825401,773.08115957838902,2011 Mar
1527.72571385219,750.11576188876302,2013 Mar
1568.4787234773701,720.92498805707999,2015 Feb
1581.3545704467199,532.57184453746504,2021 Feb
1607.7911849289501,663.60302710868496,2018 Feb
1608.6994557447399,641.72315355357205,2019 Feb
1618.81575712516,812.84338575534105,2014 Mar
1629.0846969327099,585.30740032621702,2021 Jan
1631.7827549823,840.84049232201801,2014 Feb
1643.5202123658501,650.40001289824897,2020 Feb
1646.0868061347801,894.494274068138,2011 Feb
1671.02093771055,961.40457537389204,2010 Feb
1702.6109082386799,587.51425396558602,2021 Dec
1745.8408057459201,650.88014487003102,2022 Jan
1781.79726482301,673.39226398567598,2022 Feb
1785.28294631878,939.75014466961602,2015 Mar
1839.38928838477,1211.73700218166,2007 Feb
1927.3552267262701,1049.6663664805301,2016 Mar
1947.69438477938,1298.6544727181899,2008 Feb
2106.6816984479301,1058.90621504465,2021 Mar
2140.2067154566598,1246.5754894526999,2017 Mar
2146.35854973289,1146.7216293741601,2020 Mar
2169.5010288784702,1223.4726016112199,2018 Mar
2182.6433622517102,1213.3879833911501,2019 Mar
2564.6534914171102,1458.3146920110401,2022 Mar
488.02940448545797,23.685707113523002,2000 Sep
493.50433038973802,25.785655025512,2000 Oct
498.28697226028601,40.365410768422002,2000 May
503.14604839525299,21.581054108021998,2001 Oct
503.56735152675702,41.184502821171002,2000 Aug
507.312691543933,53.740442176751003,2000 Jun
