"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1992","1992","PC","Percentage","0","Units",,,2.2622,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1993","1993","PC","Percentage","0","Units",,,-0.472222,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1994","1994","PC","Percentage","0","Units",,,0.226469,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1995","1995","PC","Percentage","0","Units",,,3.222008,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1996","1996","PC","Percentage","0","Units",,,3.903315,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1997","1997","PC","Percentage","0","Units",,,3.696729,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1998","1998","PC","Percentage","0","Units",,,2.819321,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1999","1999","PC","Percentage","0","Units",,,1.715365,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2000","2000","PC","Percentage","0","Units",,,3.682909,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2001","2001","PC","Percentage","0","Units",,,3.657064,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2002","2002","PC","Percentage","0","Units",,,3.317356,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2003","2003","PC","Percentage","0","Units",,,3.014606,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2004","2004","PC","Percentage","0","Units",,,1.765389,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2005","2005","PC","Percentage","0","Units",,,3.485454,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2006","2006","PC","Percentage","0","Units",,,2.388103,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2007","2007","PC","Percentage","0","Units",,,3.757722,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2008","2008","PC","Percentage","0","Units",,,7.10908,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2009","2009","PC","Percentage","0","Units",,,2.057282,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2010","2010","PC","Percentage","0","Units",,,4.130377,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2011","2011","PC","Percentage","0","Units",,,3.062999,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2012","2012","PC","Percentage","0","Units",,,5.147809,,
